,School,Director of admissions,Application fee,Admissions phone,Admissions email,Application URL,Website,Virtual Tour URL,TOEFL and/or IELTS required for international students,Minimum TOEFL score required,Minimum IELTS score required,Acceptance rate (postbaccalaureate certificate),ApplicationsPostbaccalaureate,Percent of new entrants providing GPA scoresPostbaccalaureate,Average undergraduate GPAPostbaccalaureate,Percent of new entrants providing verbal GRE scoresPostbaccalaureate,Percent of new entrants providing quantitative GRE scoresPostbaccalaureate,Percent of new entrants providing writing GRE scoresPostbaccalaureate,Average GRE scorePostbaccalaureate,Average GRE analytical writing scorePostbaccalaureate,GRE policyPostbaccalaureate,Acceptance rate (master's),Applications(Master's),Percent of new entrants providing GPA scores(Master's),Average undergraduate GPA(Master's),Percent of new entrants providing verbal GRE scores(Master's),Percent of new entrants providing quantitative GRE scores(Master's),Percent of new entrants providing writing GRE scores(Master's),Average GRE score(Master's),Average GRE analytical writing score(Master's),GRE policy(Master's),Acceptance rate (education specialist),Enrollment,Applications(Education Specialist),Percent of new entrants providing GPA scores(Education Specialist),Average undergraduate GPA(Education Specialist),Percent of new entrants providing verbal GRE scores(Education Specialist),Percent of new entrants providing quantitative GRE scores(Education Specialist),Percent of new entrants providing writing GRE scores(Education Specialist),Average GRE score(Education Specialist),Average GRE analytical writing score(Education Specialist),GRE policy(Education Specialist),Degree programs offered,Categories of study offered to education specialist students,Any programs in education offered off campus,Offers online program in education,Certificate program graduates,Master's program graduates,Education specialist program graduates,Doctoral program graduates,Full-time faculty (tenured or tenure-track),Full-time faculty (nontenured or tenure track),Part-time faculty,Full-time faculty with doctoral degrees,Full-time tenured or tenure-track faculty who received awards or were editors of educational journals during 2020 and 2021,Total enrollment,Total enrollment (full-time),Minority students,International students,Student diversity (full-time),Financial aid director,Financial aid phone,"Tuition (postbaccalaureate, full-time)","Tuition (postbaccalaureate, part-time)","Tuition (master's, full-time)","Tuition (master's, part-time)","Tuition (education specialist, full-time)","Tuition (education specialist, part-time)","Tuition (doctoral, full-time)","Tuition (doctoral, part-time)",Room and board,Type of education school,Memberships,School accredited by the National Council for Accreditation of Teacher Education (NCATE),School accredited by the Teacher Education Accreditation Council (TEAC),School accredited by the Council for Accreditation of Education Preparation (CAEP),Initial teacher preparation levels offered,Total students in certificate-level teacher training programs,Total students in master's teacher training programs,Total students in education specialist degree teacher training programs,Total graduate students in teacher training programs,Number of certificate programs completed,Number of teacher training master's degrees awarded,Number of teacher training education specialist degrees awarded,Number of full-time tenured or tenure-track faculty involved in teacher training programs,Are professional development/partnership schools used in teaching programs?,Are students in internships or doing practice teaching assigned to peer working groups?,Are students in internship/practice teaching programs mentored?,Students who took an assessment to become a certified or licensed teacher during 2020-2021,Number of these students who passed the assessment,Number of 2021 graduates licensed to teach,Number of 2021 graduates who accepted teaching positions for fall 2021,Number of 2019 graduates licensed to teach,Number of 2019 graduates who accepted teaching positions for fall 2018,Number of these 2019 graduates who were still employed as teachers in fall 2021,Application deadlines,Advanced teacher preparation levels offered,"Of students reporting specialty information, percent specializing in",Programs/courses offered in,Categories of study offered to master's students,Gender distribution (full-time)
233,Lewis & Clark College, Rebecca Sexton-Lee, $50, (503) 768-6200, gseadmit@lclark.edu, Website, Website, N/A, Yes,, 7, 97.1%, 34, 100%, 3.39, N/A, N/A, N/A, N/A, N/A, N/A, 89.4%, 151, 98%, 3.49, N/A, N/A, N/A, N/A, N/A, N/A, 76.1%,, 67, 100%, 3.39, N/A, N/A, N/A, N/A, N/A, N/A," Post-baccalaureate certificate, master's, education specialist, Ed.D.",, No, No, 57, 92, 20, 7, 13, 6, 6, 100%, 0%, 343, 164, N/A, N/A, N/A," Anastacia Dillon, Associate Vice President", (503) 768-7095, $995 per credit, $995 per credit, $995 per credit, $995 per credit, $995 per credit, $995 per credit, $995 per credit, $995 per credit," $21,000", Graduate school of education, AACTE (American Associate of Colleges for Teacher Education), N/A, N/A, Yes," Five-year combined undergraduate/graduate program(s), Master's program(s)", 23, 61, N/A, 84, 8, 58, 0, 5," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 41, 41, N/A, N/A, N/A, N/A, N/A, N/A,,,,,
234,Lewis University, Dr. Leslie Jacobson, N/A, (815) 836-5610, grad@lewisu.edu, Website, Website, Website, Yes,, 6, 98.6%, 71, 100%, 3.68, N/A, N/A, N/A, N/A, N/A, N/A, 95.4%, 131, 100%, 3.4, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ed.D.", N/A, No, No, N/A, 138, N/A, 5, 16, 14, 47, 100%, 12.5%, 354, 135, N/A, N/A, N/A, Janeen Decharinte, (815) 836-5263, $650 per credit, $650 per credit, $650 per credit, $650 per credit, N/A, N/A, $785 per credit, $785 per credit," $11,250", School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), No, No, No," Four-year undergraduate program(s) (bachelor's), Master's program(s)", N/A, 144, N/A, 144, N/A, 65, N/A, 16, No," Yes, in all teaching programs"," Yes, all students are mentored", 260, 222, 195, N/A, 147, 128, N/A, N/A,,,,,
235,Liberty University, Jay Bridge, $50, (800) 424-9596, gradadmissions@liberty.edu, Website, Website, Website, Yes, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, 187," 1,501", 272, 387, N/A, 306, 42, N/A, N/A," 9,585"," 4,790", N/A, N/A, N/A, Dr. Robert Ritz, (434) 582-2270, $565 per credit, $615 per credit, $415 per credit, $615 per credit, $595 per credit, $650 per credit, $595 per credit, $650 per credit, N/A, School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), Yes, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Master's program(s)", 254," 2,363", 353," 2,970", 187, 602, 272, N/A," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, 602, N/A, 412, N/A, N/A, N/A,,,,,
236,Lincoln Memorial University, Dr. Lindsay Haywood, $50, (800) 325-0900, admissions@LMUnet.edu, Website, Website, Website, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 100%,, 67, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ed.D.",, Yes, Yes, 0, 86, 107, 23, 0, 20, 13, N/A, N/A, 373, 222, N/A, N/A, N/A, Tammy Tomfohrde, (423) 869-6465, N/A, N/A, $490 per credit, $490 per credit, $490 per credit, $490 per credit, $660 per credit, $660 per credit," $17,325", School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Post-baccalaureate, non-degree, Master's program(s)", 0, 122, 99, 221, 0, 64, 107, 0," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 270, 210, 24, N/A, 38, N/A, N/A,,,,,,
237,Long Island University, AnneMarie Caradonna, $50, (516) 299-2900, post-enroll@liu.edu, Website, Website, Website, Yes,, 6, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 80%, 401, 73%, 2.72, 19%, 19%, 16%,, 3.3, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, master's, Ph.D., Ed.D.", N/A, Yes, Yes, N/A, 237, N/A, 15, 30, 6, 37, 100%, 0%, 664, 250, N/A, N/A, N/A, Ilkania Maldonado, (516) 299-2323, N/A, N/A," $1,299 per credit"," $1,299 per credit", N/A, N/A," $1,728 per credit"," $1,728 per credit", N/A, School of education with undergraduate and graduate divisions, N/A, N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Five-year combined undergraduate/graduate program(s), Master's program(s)", N/A, 154, N/A, 154, N/A, 117, N/A, 30," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 400, 380, 400, N/A, 400, N/A, N/A, N/A,,,,,
238,Lynn University, Steven Pruitt, N/A, (561) 237-7834, admission@lynn.edu, Website, Website, N/A, Yes,, 6.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 78.6%, 28, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, master's, Ed.D.", N/A, No, Yes, N/A, 29, N/A, 23, 0, 6, 7, N/A, N/A, 100, 19, N/A, N/A, N/A, Mr. John Chambers, (561) 237-7816, N/A, N/A, $750 per credit, $750 per credit, N/A, N/A, N/A, $850 per credit," $13,035", School of education with undergraduate and graduate divisions," CADREI (Council of Academic Deans from Research Education Institutions), AACTE (American Associate of Colleges for Teacher Education)", Yes, Yes, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,,,,,
239,Maryville University of St. Louis, Shani Lenore-Jenkins, N/A, (314) 529-9350, admissions@maryville.edu, Website, Website, Website, Yes,, 6, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 76.2%, 21, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ed.D.", N/A, No, Yes, N/A, 33, N/A, 41, 8, 3, 22, 100%, 0%, 203, 6, N/A, N/A, N/A, Liesl Flanagan, (314) 529-2827, N/A, $449 per credit, $449 per credit, $449 per credit, N/A, N/A, $897 per credit, $897 per credit, N/A, School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), Yes, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", N/A, 1, N/A, 1, N/A, N/A, N/A, 3," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 25, 23, 30, 30, 23, 21, 21, N/A,,,,,
240,McKendree University, Sabrina Storner, $0, (618) 537-6477, graduate@mckendree.edu, Website, Website, N/A, Yes,, 6.5, 75%, 12, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 69.3%, 88, 100%, 3.41, N/A, N/A, N/A, N/A, N/A, N/A, 81.3%,, 16, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ed.D.",, Yes, Yes, 0, 63, 6, 16, 10, 1, 26, 100%, 0%, 204, 29, N/A, N/A, N/A, Paula Carpenter, (618) 537-6828, N/A, $520 per credit, $520 per credit, $520 per credit, N/A, $600 per credit, $600 per credit, $600 per credit, N/A, School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", 13, 56, N/A, 69, N/A, N/A, N/A, 10, N/A," Yes, in all teaching programs"," Yes, all students are mentored", 61, 58, N/A, N/A, N/A, N/A, N/A, N/A,,,,,
241,Molloy College, Stephen Ostendorff, $60, (516) 323-4013, sostendorff@molloy.edu, Website, Website, N/A, Yes,, 6.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 62.8%, 277, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Master's, Ed.D.",, Yes, Yes, N/A, 251, N/A, 3, 27, 1, 22, 100%, 0%, 468, 92, N/A, N/A, N/A, Ana Lockward, (516) 323-4200, N/A, N/A," $1,255 per credit"," $1,255 per credit", N/A, N/A, N/A," $1,410 per credit", N/A, School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Five-year combined undergraduate/graduate program(s), Master's program(s)", N/A, 209, N/A, 209, N/A, 138, N/A, N/A," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,,,,,
242,Monmouth University, Laurie Kuhn, $50, (732) 571-3452, gradadm@monmouth.edu, Website, Website, N/A, Yes,, 6, 100%, 52, 100%, 3.3, N/A, N/A, N/A, N/A, N/A, N/A, 77.3%, 392, 100%, 3.34, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ed.D.", N/A, No, Yes, 11, 127, 0, 14, 21, 5, 55, 100%, 0%, 426, 227, N/A, N/A, N/A, Claire Alasio, (732) 571-3463," $1,299 per credit"," $1,299 per credit"," $1,299 per credit"," $1,299 per credit", N/A, N/A," $1,299 per credit"," $1,299 per credit", N/A, School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), No, No, Yes," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", N/A, 31, N/A, 31, N/A, 18, N/A, 14," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 17, 17, 21, N/A, 19, N/A, N/A, N/A,,,,,
243,Murray State University, Kaitlyn Burzynski, $40, (270) 809-3779, msu.graduateadmissions@murraystate.edu, Website, Website, N/A, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ed.D.",, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 490, 294, N/A, N/A, N/A, Wendy Cain, (270) 809-2546, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, School of education with undergraduate and graduate divisions, N/A, N/A, N/A, Yes, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,,,
244,Neumann University, Bettsy McKlaine, $0, (610) 558-5613, gradadultadmiss@neumann.edu, Website, Website, Website, Yes,, 6.5, 100%, 3, 100%, 4, N/A, N/A, N/A, N/A, N/A, N/A, 89.7%, 29, 100%, 3.2, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ed.D.", N/A, Yes, Yes, N/A, 70, N/A, 4, N/A, 8, 15, N/A, N/A, 230, 34, N/A, N/A, N/A, Eileen Tucker, (610) 558-5521, $700 per credit, $700 per credit, $700 per credit, $700 per credit, N/A, N/A, $940 per credit, $940 per credit, N/A, School of education with undergraduate and graduate divisions, N/A, No, No, No," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", N/A, 22, N/A, 22, N/A, 17, N/A, N/A, No," Yes, in all teaching programs"," Yes, all students are mentored", 44, 30, 33, N/A, 44, N/A, N/A, N/A,,,,,
245,New Jersey City University, Jose Balda, $55, (201) 200-3409, gradadmissions@njcu.edu, Website, Website, N/A, Yes, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ed.D.",, N/A, Yes, N/A, 199, N/A, 11, 38, N/A, 32, 97%, 0%," 1,032", 104, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, School of education with undergraduate and graduate divisions," AACTE (American Associate of Colleges for Teacher Education), HACU (Hispanic Association of Colleges and Universities)", N/A, Yes, Yes," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Post-baccalaureate, non-degree, Master's program(s)", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A,,,
246,Nova Southeastern University (Fischler), Dr. Russell Garner, $50, (954) 262-7022, rgarner@nova.edu, Website, Website, N/A, Yes,, 6, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 80.2%, 464, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 77.8%, N/A, 90, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, master's, education specialist, Ed.D.",, Yes, Yes, N/A, 467, 63, 308, 40, 0, 281, 100%, 0%," 2,736"," 1,058", N/A, N/A, N/A, Stephanie G. Brown, (954) 262-7456, N/A, N/A," $1,095 per credit"," $1,095 per credit"," $1,095 per credit"," $1,095 per credit"," $1,460 per credit"," $1,460 per credit"," $29,184", School of education with undergraduate and graduate divisions, HACU (Hispanic Association of Colleges and Universities), N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Five-year combined undergraduate/graduate program(s), Master's program(s)", N/A, 348, 8, 356, N/A, 123, 7, 18," Yes, used in all teaching programs"," Yes, in some teaching programs"," Yes, some students are mentored", 682, 411, 24, N/A, 10, N/A, N/A, N/A,,,,,
247,Oakland City University, Dr. Nancy Miller, $0, (812) 749-1378, nmiller@oak.edu, Website, Website, Website, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ed.D.",, Yes, No, 8, 7, 2, 13, N/A, 6, 14, N/A, N/A, 113, 30, N/A, N/A, N/A, Nicole Sharp, (800) 737-5125, $450 per credit, $450 per credit, $450 per credit, $450 per credit, N/A, $450 per credit, $450 per credit, $450 per credit, N/A, School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Post-baccalaureate, non-degree, Master's program(s)", 9, 5, 2, 16, N/A, N/A, N/A, N/A," Yes, used in all teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", N/A, N/A, 8, 8, N/A, N/A, N/A,,,,,,
248,Oral Roberts University, Alison Vujnovic, $35, (918) 495-6221, avujnovic@oru.edu, N/A, Website, N/A, Yes,, 6.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 25%, 60, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Master's, education specialist, Ed.D.",, No, Yes, 0, 4, 0, 0, 7, 6, 5, 86%, 0%, 105, 92, N/A, N/A, N/A, Emily Atkerson, (918) 495-6602, N/A, N/A," $6,540 per year"," $3,360 per year", N/A, N/A," $9,240 per year"," $4,620 per year"," $8,650", Graduate school of education," AACTE (American Associate of Colleges for Teacher Education), CCCU (Council for Christian Colleges and Universities)", Yes, N/A, Yes," Post-baccalaureate, non-degree, Master's program(s)", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Yes, used in all teaching programs", No," Yes, some students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A,,,
249,Piedmont University, Kathleen Carter, $25, (800) 277-7020, grad@piedmont.edu, Website, Website, N/A, No, N/A, N/A, 81%, 21, 100%, 3.3, N/A, N/A, N/A, N/A, N/A, N/A, 78.6%, 98, 92%, 3.55, N/A, N/A, N/A, N/A, N/A, N/A, 78.3%,, 115, 77%, 3.36, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ed.D.",, N/A, Yes, N/A, 242, 469, 16, 2, 24, 54, 100%, 0%, 839, 295, N/A, N/A, N/A, N/A, (706) 776-0114, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), No, No, No," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Post-baccalaureate, non-degree, Master's program(s)", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, No," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,,,,,
250,Prairie View A&M University, Dr. Hugh N. Durham, $40, (936) 261-1069, hndurham@pvamu.edu, Website, Website, N/A, Yes,, 6, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 80%, 85, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ph.D.", N/A, N/A, Yes, N/A, 59, N/A, 9, 29, 18, 11, 100%, 0%, 238, 73, N/A, N/A, N/A, Dr. Joy D. Thomas, (936) 261-1206,,,,, N/A, N/A,,," $10,611", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,
251,Regent University, Chris Graham, $50, (888) 713-1595, edadmissions@regent.edu, Website, Website, Website, Yes,, N/A, 67%, 103, 81%, 3.2, N/A, N/A, N/A, N/A, N/A, N/A, 69.7%, 251, 93%, 3.15, N/A, N/A, N/A, N/A, N/A, N/A, 60.5%,, 38, 100%, 3.16, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D., Ed.D.",, No, Yes, 8, 171, 48, 55, 9, 4, 61, 100%, 0%," 1,115", 373, N/A, N/A, N/A, Rachael Moser, (757) 352-4125, $250 per credit, $250 per credit, $550 per credit, $550 per credit, $775 per credit, $775 per credit, $775 per credit, $775 per credit," $8,180", School of education with undergraduate and graduate divisions," AACTE (American Associate of Colleges for Teacher Education), CCCU (Council for Christian Colleges and Universities)", N/A, Yes, Yes," Four-year undergraduate program(s) (bachelor's), Master's program(s)", 87, 446, 62, 595, 8, 171, 48, 9," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", 57, 48, 30, 21, 46, 36, 23, N/A,,,,,
252,Robert Morris University, Kellie Laurenzi, $35, (412) 397-5200, graduateadmissions@rmu.edu, Website, Website, Website, Yes,, 7, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ph.D.", N/A, No, Yes, 20, 18, 0, 21, 10, 0, 1, 100%, 0%, 142, N/A, N/A, N/A, N/A, Stephanie Hendershot, (412) 397-6260, N/A, $650 per credit, N/A, $650 per credit, N/A, N/A, N/A," $24,140 per year", N/A, School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), N/A, Yes, Yes," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", 7, 47, N/A, 54, N/A, N/A, N/A, N/A," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,,,,, N/A
253,Saint Elizabeth University, Brad Allison, $0, (800) 210-7900, apply@steu.edu, Website, Website, Website, Yes,, 6, 66.7%, 24, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 68.4%, 19, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ed.D.", N/A, Yes, Yes, 30, 25, N/A, 14, 3, 2, 24, 100%, 0%, 110, 2, N/A, N/A, N/A, Rebecca E. Rees, (973) 290-4445, N/A, $667 per credit, N/A," $1,001 per credit", N/A, N/A," $1,019 per credit"," $1,019 per credit", N/A, School of education with undergraduate and graduate divisions, N/A, No, No, Yes," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", 24, 6, N/A, 30, 26, 8, N/A, 3, No," Yes, in some teaching programs"," Yes, all students are mentored", 10, 10, 9, 9, 8, 8, 8, N/A,,,,,
254,Shenandoah University, Ms. Jean Swartz, $30, (540) 665-4581, sugradadmissions@su.edu, Website, Website, Website, Yes,, 6.5, 90.8%, 98, 6%, 3.8, N/A, N/A, N/A, N/A, N/A, N/A, 85%, 40, 13%, 3.6, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ed.D.", N/A, No, Yes, 43, 33, N/A, 7, 0, 9, 26, N/A, N/A, 299, 11, N/A, N/A, N/A, Ms. Karen Bucher, (540) 665-4538," $8,010 per year"," $7,120 per year"," $8,010 per year"," $7,120 per year", N/A, N/A," $8,010 per year"," $7,120 per year"," $11,020", School of education with undergraduate and graduate divisions, N/A, No, No, Yes," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", 129, 60, N/A, 189, 43, 11, N/A, 0," Yes, used in all teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", 46, 46, 46, 37, 38, 32, 32,,,,,,
255,South Carolina State University," Dr. Frederick Evans, Dean", $25, (803) 536-7133, graduateschool@scsu.edu, Website, Website, N/A, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 100%, 26, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 100%, N/A, 14, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, master's, education specialist, Ed.D.",, Yes, Yes, N/A, 42, 15, 12, 15, 1, 12, 100%, 0%, 160, 85, N/A, N/A, N/A, Tangar Young, (803) 536-7067, N/A, N/A,,,,,,, N/A, School of education with undergraduate and graduate divisions," AACTE (American Associate of Colleges for Teacher Education), NAFEO (National Association for Equal Opportunity in Higher Education)", N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Master's program(s)", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,,,,,
